region_id,elevation_m,rainfall_mm,soil_moisture,river_distance_km,vegetation_density,target (flood)
R100,446.902185277527,196.7291969441884,0.7203733846882118,0.5900647643121073,0.595906061435869,0
R101,519.7373464540349,276.5578227439852,0.19258493407363642,0.5753955404605222,0.516777832381535,0
R102,275.33016089086505,264.94210805138044,0.5157457249399007,9.285873467555753,0.5934899168111007,0
R103,967.4104634659486,133.63619872879704,0.7868899309013448,9.423168289810064,0.4145442138952752,0
R104,908.5631100346395,68.11307422779042,0.5549864490716656,18.415568427412158,0.719671539901695,0
R105,445.10181537418725,74.89919404559703,0.8417483986757659,2.198343982328942,0.537882391532521,0
R106,625.8531386297474,181.12346355883358,0.7588220384846461,0.4891226823522224,0.3432755513710537,0
R107,530.5149133905311,84.00606026070943,0.2785960077822054,2.393495208463114,0.3032629754704057,0
R108,533.7892470048035,74.72112561856486,0.6738709039004018,6.129628993660684,0.3151352700862748,0
R109,870.1940508371783,66.32679074735442,0.7446770907369927,7.172927965241693,0.5063541817627861,0
R110,286.17612960350647,280.5314537055851,0.8261769479180474,3.2284467295278545,0.44208294053579655,1
R111,707.460846551864,266.9712653597817,0.14335159820966037,1.6948805608044508,0.726372254074088,0
R112,192.8955684991167,56.52194961757092,0.35850879274381664,1.8114833704777533,0.802304521025833,0
R113,801.3893758699908,290.60127766868015,0.8532968175626698,3.3682108425131325,0.4130008187863836,1
R114,567.5706472931919,193.4639450268445,0.8876312695245765,0.06269482456289653,0.7559413611183761,0
R115,463.43877663566036,208.1817528210176,0.9698095162033039,11.963988787913685,0.5826961812846314,1
R116,313.94260996362624,15.777606059165395,0.886592715107584,1.0359172551058897,0.6079489999834743,0
R117,244.0389573096595,47.31163600110594,0.12914731114722566,2.9311412260094554,0.4267852676345415,0
R118,52.95123866514362,87.82874616988572,0.7482083695318839,12.955258417971596,0.648351921940769,0
R119,602.8729535176959,165.89462519539896,0.5483091936961189,5.321277781046907,0.48924702908385154,0
R120,615.6804263869757,24.834707587124683,0.8317092800057514,3.228535500364064,0.8527208499595531,0
R121,835.6795406172771,93.97951554162543,0.7752745051266777,3.097621262555923,0.6895281204065171,0
R122,137.24402115400915,151.97488235470465,0.29710711040565296,2.0523972395486165,0.8394224858831631,0
R123,28.824043547673874,33.4350506998971,0.9357649657745912,1.2134929904496705,0.4621537858399354,0
R124,979.0884851841149,177.4654419884642,0.6778748988940128,1.9990434789346543,0.36900267817168997,0
R125,71.01074193991886,126.72827356092793,0.031563622303465655,0.47892967765808125,0.5340265648773191,0
